Gauge gauge_0 Location: X=1.02, Y=0.0
Time(s) dt(s) Depth(m) Elevation(m)
0.100000 0.100000 0.000009 -0.499991
0.102071 0.002071 0.000034 -0.499966
0.103814 0.001743 0.000064 -0.499936
0.105578 0.001764 0.000115 -0.499885
0.107338 0.001760 0.000215 -0.499785
0.109162 0.001824 0.000374 -0.499626
0.111081 0.001919 0.000516 -0.499484
0.113183 0.002101 0.000685 -0.499315
0.115577 0.002394 0.000931 -0.499069
0.118268 0.002691 0.001262 -0.498738
0.121265 0.002998 0.001576 -0.498424
0.124694 0.003428 0.001872 -0.498128
0.128732 0.004039 0.002136 -0.497864
0.133401 0.004668 0.002351 -0.497649
0.138787 0.005386 0.002517 -0.497483
0.144886 0.006099 0.002643 -0.497357
0.151838 0.006951 0.002709 -0.497291
0.159808 0.007970 0.002691 -0.497309
0.168759 0.008951 0.002604 -0.497396
0.178477 0.009718 0.002500 -0.497500
0.188856 0.010378 0.002393 -0.497607
0.199573 0.010717 0.002288 -0.497712
0.200000 0.000427 0.002284 -0.497716
0.210986 0.010986 0.002192 -0.497808
0.221287 0.010300 0.002106 -0.497894
0.232383 0.011096 0.002020 -0.497980
0.243509 0.011126 0.001932 -0.498068
0.254671 0.011162 0.001840 -0.498160
0.265879 0.011208 0.001747 -0.498253
0.277275 0.011396 0.001653 -0.498347
0.288928 0.011653 0.001560 -0.498440
0.300000 0.011072 0.001474 -0.498526
0.300000 0.000000 0.001474 -0.498526
0.312298 0.012298 0.001392 -0.498608
0.324112 0.011814 0.001312 -0.498688
0.337184 0.013071 0.001235 -0.498765
0.350600 0.013416 0.001166 -0.498834
0.364329 0.013729 0.001102 -0.498898
0.378177 0.013849 0.001049 -0.498951
0.392049 0.013872 0.001003 -0.498997
0.400000 0.007951 0.000980 -0.499020
0.400000 0.000000 0.000980 -0.499020
0.412988 0.012988 0.000956 -0.499044
0.422821 0.009834 0.000939 -0.499061
0.433562 0.010740 0.000935 -0.499065
0.444681 0.011119 0.000941 -0.499059
0.456317 0.011636 0.000949 -0.499051
0.467665 0.011349 0.000960 -0.499040
0.479623 0.011958 0.000976 -0.499024
0.491282 0.011659 0.000993 -0.499007
0.500000 0.008718 0.001007 -0.498993
0.500000 0.000000 0.001007 -0.498993
0.512043 0.012043 0.001038 -0.498962
0.521889 0.009846 0.001059 -0.498941
0.533249 0.011360 0.001091 -0.498909
0.544664 0.011415 0.001124 -0.498876
0.556064 0.011400 0.001161 -0.498839
0.567703 0.011639 0.001197 -0.498803
0.579422 0.011719 0.001234 -0.498766
0.591457 0.012036 0.001269 -0.498731
0.600000 0.008543 0.001293 -0.498707
0.600000 0.000000 0.001293 -0.498707
0.612673 0.012673 0.001333 -0.498667
0.622386 0.009712 0.001359 -0.498641
0.633991 0.011605 0.001394 -0.498606
0.645771 0.011780 0.001431 -0.498569
0.659189 0.013418 0.001474 -0.498526
0.671381 0.012192 0.001511 -0.498489
0.685523 0.014142 0.001553 -0.498447
0.698024 0.012501 0.001584 -0.498416
0.700000 0.001976 0.001588 -0.498412
0.714761 0.014761 0.001627 -0.498373
0.723457 0.008697 0.001646 -0.498354
0.733947 0.010490 0.001675 -0.498325
0.746074 0.012127 0.001709 -0.498291
0.759613 0.013538 0.001746 -0.498254
0.772360 0.012748 0.001772 -0.498228
0.787377 0.015016 0.001792 -0.498208
0.799685 0.012308 0.001795 -0.498205
0.800000 0.000315 0.001795 -0.498205
0.814553 0.014553 0.001790 -0.498210
0.823588 0.009035 0.001786 -0.498214
0.833983 0.010394 0.001784 -0.498216
0.845238 0.011256 0.001779 -0.498221
0.858550 0.013312 0.001769 -0.498231
0.870886 0.012336 0.001752 -0.498248
0.884794 0.013907 0.001725 -0.498275
0.897232 0.012438 0.001691 -0.498309
0.900000 0.002768 0.001683 -0.498317
0.914519 0.014519 0.001644 -0.498356
0.923489 0.008970 0.001622 -0.498378
0.933812 0.010324 0.001609 -0.498391
0.944843 0.011031 0.001598 -0.498402
0.957177 0.012335 0.001585 -0.498415
0.969551 0.012374 0.001573 -0.498427
0.982461 0.012910 0.001561 -0.498439
0.995045 0.012583 0.001548 -0.498452
1.000000 0.004955 0.001543 -0.498457
1.014073 0.014073 0.001534 -0.498466
1.023378 0.009305 0.001527 -0.498473
1.034314 0.010935 0.001524 -0.498476
1.045825 0.011512 0.001524 -0.498476
1.059040 0.013215 0.001527 -0.498473
1.071286 0.012245 0.001530 -0.498470
1.085396 0.014110 0.001536 -0.498464
1.097573 0.012178 0.001540 -0.498460
1.100000 0.002427 0.001541 -0.498459
1.114982 0.014982 0.001556 -0.498444
1.123685 0.008704 0.001563 -0.498437
1.133840 0.010155 0.001583 -0.498417
1.144826 0.010986 0.001609 -0.498391
1.157730 0.012904 0.001641 -0.498359
1.169608 0.011877 0.001669 -0.498331
1.183234 0.013627 0.001701 -0.498299
1.195404 0.012169 0.001728 -0.498272
1.200000 0.004596 0.001738 -0.498262
1.214353 0.014353 0.001774 -0.498226
1.223506 0.009153 0.001793 -0.498207
1.233986 0.010480 0.001820 -0.498180
1.245026 0.011040 0.001848 -0.498152
1.257888 0.012862 0.001881 -0.498119
1.269653 0.011765 0.001906 -0.498094
1.283155 0.013503 0.001925 -0.498075
1.294897 0.011742 0.001932 -0.498068
1.300000 0.005103 0.001933 -0.498067
1.313937 0.013937 0.001936 -0.498064
1.323281 0.009343 0.001931 -0.498069
1.333853 0.010572 0.001930 -0.498070
1.344768 0.010915 0.001926 -0.498074
1.357302 0.012534 0.001919 -0.498081
1.368840 0.011538 0.001907 -0.498093
1.381835 0.012995 0.001888 -0.498112
1.393454 0.011619 0.001866 -0.498134
1.400000 0.006546 0.001852 -0.498148
1.413577 0.013577 0.001825 -0.498175
1.423457 0.009881 0.001803 -0.498197
1.434592 0.011134 0.001784 -0.498216
1.445630 0.011038 0.001766 -0.498234
1.458210 0.012580 0.001749 -0.498251
1.469532 0.011322 0.001734 -0.498266
1.482468 0.012936 0.001719 -0.498281
1.493816 0.011348 0.001706 -0.498294
1.500000 0.006184 0.001700 -0.498300
1.513363 0.013363 0.001695 -0.498305
1.523067 0.009705 0.001689 -0.498311
1.534042 0.010975 0.001690 -0.498310
1.544867 0.010825 0.001695 -0.498305
1.557225 0.012358 0.001707 -0.498293
1.568286 0.011060 0.001719 -0.498281
1.580850 0.012564 0.001734 -0.498266
1.591975 0.011126 0.001748 -0.498252
1.600000 0.008025 0.001759 -0.498241
1.600000 0.000000 0.001759 -0.498241
1.612778 0.012778 0.001786 -0.498214
1.623477 0.010699 0.001802 -0.498198
1.635471 0.011993 0.001824 -0.498176
1.646325 0.010854 0.001846 -0.498154
1.658625 0.012300 0.001872 -0.498128
1.669504 0.010879 0.001895 -0.498105
1.681921 0.012417 0.001923 -0.498077
1.692841 0.010921 0.001945 -0.498055
1.700000 0.007159 0.001959 -0.498041
1.712650 0.012650 0.001986 -0.498014
1.722819 0.010169 0.002001 -0.497999
1.734237 0.011418 0.002020 -0.497980
1.744829 0.010592 0.002035 -0.497965
1.756782 0.011953 0.002049 -0.497951
1.767356 0.010574 0.002056 -0.497944
1.779333 0.011977 0.002060 -0.497940
1.789901 0.010568 0.002058 -0.497942
1.800000 0.010099 0.002052 -0.497948
1.800000 0.000000 0.002052 -0.497948
1.811279 0.011279 0.002049 -0.497951
1.822410 0.011131 0.002031 -0.497969
1.834382 0.011972 0.002008 -0.497992
1.845156 0.010774 0.001987 -0.498013
1.857145 0.011989 0.001964 -0.498036
1.867519 0.010373 0.001945 -0.498055
1.879146 0.011627 0.001927 -0.498073
1.889517 0.010371 0.001911 -0.498089
1.900000 0.010483 0.001898 -0.498102
1.900000 0.000000 0.001898 -0.498102
1.910812 0.010812 0.001893 -0.498107
1.921697 0.010885 0.001880 -0.498120
1.933016 0.011319 0.001864 -0.498136
1.944262 0.011246 0.001850 -0.498150
1.956261 0.011999 0.001838 -0.498162
1.966798 0.010537 0.001831 -0.498169
1.978396 0.011599 0.001829 -0.498171
1.988566 0.010169 0.001830 -0.498170
1.999830 0.011264 0.001838 -0.498162
2.000000 0.000170 0.001838 -0.498162
2.010206 0.010206 0.001857 -0.498143
2.020631 0.010425 0.001870 -0.498130
2.031243 0.010612 0.001883 -0.498117
2.042256 0.011013 0.001898 -0.498102
2.053093 0.010836 0.001910 -0.498090
2.064388 0.011295 0.001923 -0.498077
2.074643 0.010255 0.001931 -0.498069
2.085625 0.010982 0.001940 -0.498060
2.095600 0.009975 0.001949 -0.498051
2.100000 0.004400 0.001952 -0.498048
2.110987 0.010987 0.001972 -0.498028
2.119989 0.009003 0.001981 -0.498019
2.129870 0.009880 0.001995 -0.498005
2.139339 0.009469 0.002009 -0.497991
2.149396 0.010057 0.002025 -0.497975
2.159009 0.009613 0.002041 -0.497959
2.169153 0.010144 0.002058 -0.497942
2.178752 0.009599 0.002074 -0.497926
2.189029 0.010277 0.002091 -0.497909
2.198581 0.009552 0.002106 -0.497894
2.200000 0.001419 0.002109 -0.497891
2.200000 0.000000 0.002109 -0.497891
2.210458 0.010458 0.002133 -0.497867
2.218876 0.008418 0.002150 -0.497850
2.228069 0.009193 0.002177 -0.497823
2.237082 0.009013 0.002204 -0.497796
2.246776 0.009694 0.002230 -0.497770
2.256020 0.009245 0.002252 -0.497748
2.266071 0.010051 0.002271 -0.497729
2.275362 0.009291 0.002285 -0.497715
2.285511 0.010149 0.002296 -0.497704
2.294805 0.009294 0.002299 -0.497701
2.300000 0.005195 0.002300 -0.497700
2.310342 0.010342 0.002302 -0.497698
2.319038 0.008696 0.002295 -0.497705
2.328541 0.009503 0.002296 -0.497704
2.337596 0.009055 0.002296 -0.497704
2.347483 0.009888 0.002295 -0.497705
2.356636 0.009153 0.002291 -0.497709
2.366572 0.009936 0.002287 -0.497713
2.375729 0.009157 0.002282 -0.497718
2.385679 0.009951 0.002278 -0.497722
2.394793 0.009113 0.002272 -0.497728
2.400000 0.005207 0.002270 -0.497730
2.410091 0.010091 0.002270 -0.497730
2.418555 0.008463 0.002267 -0.497733
2.427916 0.009361 0.002271 -0.497729
2.436759 0.008843 0.002276 -0.497724
2.446421 0.009662 0.002282 -0.497718
2.455338 0.008917 0.002287 -0.497713
2.465016 0.009678 0.002293 -0.497707
2.473912 0.008895 0.002298 -0.497702
2.483609 0.009697 0.002305 -0.497695
2.492490 0.008881 0.002309 -0.497691
2.500000 0.007510 0.002313 -0.497687
2.509502 0.009502 0.002324 -0.497676
2.518404 0.008903 0.002323 -0.497677
2.527857 0.009453 0.002320 -0.497680
2.536671 0.008814 0.002318 -0.497682
2.546118 0.009447 0.002314 -0.497686
2.554860 0.008742 0.002312 -0.497688
2.564262 0.009402 0.002309 -0.497691
2.572952 0.008691 0.002308 -0.497692
2.582304 0.009352 0.002306 -0.497694
2.590960 0.008657 0.002307 -0.497693
2.600000 0.009040 0.002306 -0.497694
2.600000 0.000000 0.002306 -0.497694
2.608763 0.008763 0.002316 -0.497684
2.617674 0.008911 0.002317 -0.497683
2.626468 0.008794 0.002320 -0.497680
2.635377 0.008909 0.002324 -0.497676
2.644172 0.008795 0.002329 -0.497671
2.653060 0.008888 0.002334 -0.497666
2.661839 0.008779 0.002340 -0.497660
2.670691 0.008853 0.002345 -0.497655
2.679443 0.008752 0.002351 -0.497649
2.688251 0.008808 0.002356 -0.497644
2.696967 0.008716 0.002362 -0.497638
2.700000 0.003033 0.002363 -0.497637
2.709022 0.009022 0.002377 -0.497623
2.716937 0.007915 0.002388 -0.497612
2.725600 0.008662 0.002413 -0.497587
2.733720 0.008120 0.002438 -0.497562
2.742248 0.008528 0.002463 -0.497537
2.750456 0.008208 0.002486 -0.497514
2.758922 0.008465 0.002509 -0.497491
2.767171 0.008250 0.002529 -0.497471
2.775579 0.008408 0.002547 -0.497453
2.783836 0.008257 0.002562 -0.497438
2.792186 0.008350 0.002574 -0.497426
2.800000 0.007814 0.002582 -0.497418
2.800000 0.000000 0.002582 -0.497418
2.808387 0.008387 0.002597 -0.497403
2.816314 0.007926 0.002602 -0.497398
2.824484 0.008170 0.002607 -0.497393
2.832456 0.007972 0.002614 -0.497386
2.840553 0.008097 0.002621 -0.497379
2.848540 0.007987 0.002627 -0.497373
2.856591 0.008051 0.002634 -0.497366
2.864572 0.007981 0.002640 -0.497360
2.872585 0.008013 0.002646 -0.497354
2.880551 0.007965 0.002651 -0.497349
2.888527 0.007976 0.002655 -0.497345
2.896468 0.007941 0.002659 -0.497341
2.900000 0.003532 0.002659 -0.497341
2.908194 0.008194 0.002669 -0.497331
2.915550 0.007357 0.002674 -0.497326
2.923307 0.007757 0.002684 -0.497316
2.930855 0.007548 0.002696 -0.497304
2.938541 0.007686 0.002711 -0.497289
2.946160 0.007619 0.002726 -0.497274
2.953825 0.007665 0.002741 -0.497259
2.961461 0.007636 0.002756 -0.497244
2.969105 0.007644 0.002769 -0.497231
2.976730 0.007624 0.002782 -0.497218
2.984347 0.007617 0.002792 -0.497208
2.991950 0.007603 0.002801 -0.497199
2.999541 0.007591 0.002808 -0.497192
3.000000 0.000459 0.002808 -0.497192
3.007668 0.007668 0.002823 -0.497177
3.014932 0.007264 0.002829 -0.497171
3.022379 0.007447 0.002837 -0.497163
3.029728 0.007349 0.002846 -0.497154
