Gauge gauge_1 Location: X=1.02, Y=0.03
Time(s) dt(s) Depth(m) Elevation(m)
0.100000 0.100000 0.000000 -0.049750
0.102071 0.002071 0.000008 -0.049742
0.103814 0.001743 0.000007 -0.049743
0.105578 0.001764 0.000006 -0.049744
0.107338 0.001760 0.000005 -0.049745
0.109162 0.001824 0.000005 -0.049745
0.111081 0.001919 0.000004 -0.049746
0.113183 0.002101 0.000003 -0.049747
0.115577 0.002394 0.000003 -0.049747
0.118268 0.002691 0.000002 -0.049748
0.121265 0.002998 0.000002 -0.049748
0.124694 0.003428 0.000001 -0.049749
0.128732 0.004039 0.000001 -0.049749
0.133401 0.004668 0.000001 -0.049749
0.138787 0.005386 0.000001 -0.049749
0.144886 0.006099 0.000001 -0.049749
0.151838 0.006951 0.000001 -0.049749
0.159808 0.007970 0.000000 -0.049750
0.168759 0.008951 0.000000 -0.049750
0.178477 0.009718 0.000000 -0.049750
0.188856 0.010378 0.000000 -0.049750
0.199573 0.010717 0.000001 -0.049749
0.200000 0.000427 0.000001 -0.049749
0.210986 0.010986 0.000000 -0.049750
0.221287 0.010300 0.000000 -0.049750
0.232383 0.011096 0.000001 -0.049749
0.243509 0.011126 0.000001 -0.049749
0.254671 0.011162 0.000000 -0.049750
0.265879 0.011208 0.000000 -0.049750
0.277275 0.011396 0.000001 -0.049749
0.288928 0.011653 0.000001 -0.049749
0.300000 0.011072 0.000000 -0.049750
0.300000 0.000000 0.000000 -0.049750
0.312298 0.012298 0.000000 -0.049750
0.324112 0.011814 0.000001 -0.049749
0.337184 0.013071 0.000001 -0.049749
0.350600 0.013416 0.000000 -0.049750
0.364329 0.013729 0.000001 -0.049749
0.378177 0.013849 0.000001 -0.049749
0.392049 0.013872 0.000000 -0.049750
0.400000 0.007951 0.000000 -0.049750
0.400000 0.000000 0.000000 -0.049750
0.412988 0.012988 0.000000 -0.049750
0.422821 0.009834 0.000001 -0.049749
0.433562 0.010740 0.000001 -0.049749
0.444681 0.011119 0.000000 -0.049750
0.456317 0.011636 0.000001 -0.049749
0.467665 0.011349 0.000001 -0.049749
0.479623 0.011958 0.000000 -0.049750
0.491282 0.011659 0.000001 -0.049749
0.500000 0.008718 0.000001 -0.049749
0.500000 0.000000 0.000001 -0.049749
0.512043 0.012043 0.000000 -0.049750
0.521889 0.009846 0.000001 -0.049749
0.533249 0.011360 0.000000 -0.049750
0.544664 0.011415 0.000001 -0.049749
0.556064 0.011400 0.000000 -0.049750
0.567703 0.011639 0.000001 -0.049749
0.579422 0.011719 0.000000 -0.049750
0.591457 0.012036 0.000001 -0.049749
0.600000 0.008543 0.000000 -0.049750
0.600000 0.000000 0.000000 -0.049750
0.612673 0.012673 0.000000 -0.049750
0.622386 0.009712 0.000001 -0.049749
0.633991 0.011605 0.000000 -0.049750
0.645771 0.011780 0.000001 -0.049749
0.659189 0.013418 0.000000 -0.049750
0.671381 0.012192 0.000001 -0.049749
0.685523 0.014142 0.000000 -0.049750
0.698024 0.012501 0.000001 -0.049749
0.700000 0.001976 0.000001 -0.049749
0.714761 0.014761 0.000000 -0.049750
0.723457 0.008697 0.000001 -0.049749
0.733947 0.010490 0.000000 -0.049750
0.746074 0.012127 0.000002 -0.049748
0.759613 0.013538 0.000000 -0.049750
0.772360 0.012748 0.000001 -0.049749
0.787377 0.015016 0.000000 -0.049750
0.799685 0.012308 0.000001 -0.049749
0.800000 0.000315 0.000001 -0.049749
0.814553 0.014553 0.000000 -0.049750
0.823588 0.009035 0.000001 -0.049749
0.833983 0.010394 0.000000 -0.049750
0.845238 0.011256 0.000002 -0.049748
0.858550 0.013312 0.000000 -0.049750
0.870886 0.012336 0.000002 -0.049748
0.884794 0.013907 0.000000 -0.049750
0.897232 0.012438 0.000002 -0.049748
