2026-08-07 12:59:20 - === Simulation Started at: 2026-08-07 12:59:20 ===
2026-08-07 12:59:20 - cells: 254, 200, square resolution: 0.01
2026-08-07 13:00:10 - Step:     1 | Sim Clock Time:     0.10s | Max Depth: 0.002690m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     2 | Sim Clock Time:     0.20s | Max Depth: 0.003303m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     3 | Sim Clock Time:     0.30s | Max Depth: 0.001922m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     4 | Sim Clock Time:     0.40s | Max Depth: 0.002063m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     5 | Sim Clock Time:     0.50s | Max Depth: 0.001830m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     6 | Sim Clock Time:     0.60s | Max Depth: 0.001974m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     7 | Sim Clock Time:     0.70s | Max Depth: 0.002183m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     8 | Sim Clock Time:     0.80s | Max Depth: 0.002231m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:     9 | Sim Clock Time:     0.90s | Max Depth: 0.002008m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    10 | Sim Clock Time:     1.00s | Max Depth: 0.001866m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    11 | Sim Clock Time:     1.10s | Max Depth: 0.001969m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    12 | Sim Clock Time:     1.20s | Max Depth: 0.002080m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    13 | Sim Clock Time:     1.30s | Max Depth: 0.002205m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    14 | Sim Clock Time:     1.40s | Max Depth: 0.002110m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    15 | Sim Clock Time:     1.50s | Max Depth: 0.002049m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    16 | Sim Clock Time:     1.60s | Max Depth: 0.002103m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    17 | Sim Clock Time:     1.70s | Max Depth: 0.002084m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    18 | Sim Clock Time:     1.80s | Max Depth: 0.002114m | Min Depth: 0.000000m
2026-08-07 13:00:14 - Step:    19 | Sim Clock Time:     1.90s | Max Depth: 0.002092m | Min Depth: 0.000000m
