Gauge gauge_1 Location: X=4.521, Y=1.696
Time(s) dt(s) Depth(m) Elevation(m)
0.002172 0.002172 0.003371 0.000000
0.004343 0.002172 0.003371 0.000000
0.006515 0.002172 0.003371 0.000000
0.008686 0.002172 0.003371 0.000000
0.010858 0.002172 0.003371 0.000000
0.013029 0.002172 0.003371 0.000000
0.015201 0.002172 0.003371 0.000000
0.017373 0.002172 0.003371 0.000000
0.019544 0.002172 0.003371 0.000000
0.021716 0.002172 0.003371 0.000000
0.023887 0.002172 0.003371 0.000000
0.026059 0.002172 0.003371 0.000000
0.028231 0.002172 0.003371 0.000000
0.030402 0.002172 0.003371 0.000000
0.032574 0.002172 0.003371 0.000000
0.034745 0.002172 0.003371 0.000000
0.036917 0.002172 0.003371 0.000000
0.039088 0.002172 0.003371 0.000000
0.041260 0.002172 0.003371 0.000000
0.043432 0.002172 0.003371 0.000000
0.045603 0.002172 0.003371 0.000000
0.047775 0.002172 0.003371 0.000000
0.049946 0.002172 0.003371 0.000000
0.052118 0.002172 0.003371 0.000000
0.054290 0.002172 0.003371 0.000000
0.056461 0.002172 0.003371 0.000000
0.058633 0.002172 0.003371 0.000000
0.060804 0.002172 0.003371 0.000000
0.062976 0.002172 0.003371 0.000000
0.065147 0.002172 0.003371 0.000000
0.067319 0.002172 0.003371 0.000000
0.069491 0.002172 0.003371 0.000000
0.071662 0.002172 0.003371 0.000000
0.073834 0.002172 0.003371 0.000000
0.076005 0.002172 0.003371 0.000000
0.078177 0.002172 0.003371 0.000000
0.080348 0.002172 0.003371 0.000000
0.082520 0.002172 0.003371 0.000000
0.084692 0.002172 0.003371 0.000000
0.086863 0.002172 0.003371 0.000000
0.089035 0.002172 0.003371 0.000000
0.091206 0.002172 0.003371 0.000000
0.093378 0.002172 0.003371 0.000000
0.095549 0.002172 0.003371 0.000000
0.097721 0.002172 0.003371 0.000000
0.099892 0.002172 0.003371 0.000000
0.102064 0.002171 0.003371 0.000000
0.104235 0.002171 0.003371 0.000000
0.106407 0.002171 0.003371 0.000000
0.108578 0.002171 0.003371 0.000000
0.110750 0.002171 0.003371 0.000000
0.112921 0.002171 0.003371 0.000000
0.115093 0.002171 0.003371 0.000000
0.117264 0.002171 0.003371 0.000000
0.119435 0.002171 0.003371 0.000000
0.121607 0.002171 0.003371 0.000000
0.123778 0.002171 0.003371 0.000000
0.125950 0.002171 0.003371 0.000000
0.128121 0.002171 0.003371 0.000000
0.130293 0.002171 0.003371 0.000000
0.132464 0.002171 0.003371 0.000000
0.134635 0.002171 0.003371 0.000000
0.136807 0.002171 0.003371 0.000000
0.138978 0.002171 0.003371 0.000000
0.141150 0.002171 0.003371 0.000000
0.143321 0.002171 0.003371 0.000000
0.145492 0.002171 0.003371 0.000000
0.147664 0.002171 0.003371 0.000000
0.149835 0.002171 0.003371 0.000000
0.152007 0.002171 0.003371 0.000000
0.154178 0.002171 0.003371 0.000000
0.156349 0.002171 0.003371 0.000000
0.158521 0.002171 0.003371 0.000000
0.160692 0.002171 0.003371 0.000000
0.162863 0.002171 0.003371 0.000000
0.165035 0.002171 0.003371 0.000000
0.167206 0.002171 0.003371 0.000000
0.169377 0.002171 0.003371 0.000000
0.171549 0.002171 0.003371 0.000000
0.173720 0.002171 0.003371 0.000000
0.175891 0.002171 0.003371 0.000000
0.178062 0.002171 0.003371 0.000000
0.180234 0.002171 0.003371 0.000000
0.182405 0.002171 0.003371 0.000000
0.184576 0.002171 0.003371 0.000000
0.186748 0.002171 0.003371 0.000000
0.188919 0.002171 0.003371 0.000000
0.191090 0.002171 0.003371 0.000000
0.193261 0.002171 0.003371 0.000000
0.195433 0.002171 0.003371 0.000000
0.197604 0.002171 0.003371 0.000000
0.199775 0.002171 0.003371 0.000000
0.201946 0.002171 0.003371 0.000000
0.204118 0.002171 0.003371 0.000000
0.206289 0.002171 0.003371 0.000000
0.208460 0.002171 0.003371 0.000000
0.210631 0.002171 0.003371 0.000000
0.212803 0.002171 0.003371 0.000000
0.214974 0.002171 0.003371 0.000000
0.217145 0.002171 0.003371 0.000000
0.219316 0.002171 0.003371 -0.000000
0.221487 0.002171 0.003371 -0.000000
0.223659 0.002171 0.003371 -0.000000
0.225830 0.002171 0.003371 -0.000000
0.228001 0.002171 0.003371 -0.000000
0.230172 0.002171 0.003371 -0.000000
0.232343 0.002171 0.003371 -0.000000
0.234515 0.002171 0.003371 -0.000000
0.236686 0.002171 0.003371 -0.000000
0.238857 0.002171 0.003371 -0.000000
0.241028 0.002171 0.003371 -0.000000
0.243199 0.002171 0.003371 -0.000000
0.245370 0.002171 0.003371 -0.000000
0.247542 0.002171 0.003371 -0.000000
0.249713 0.002171 0.003371 -0.000000
0.251884 0.002171 0.003371 -0.000000
0.254055 0.002171 0.003371 -0.000000
0.256226 0.002171 0.003371 -0.000000
0.258397 0.002171 0.003371 -0.000000
0.260568 0.002171 0.003371 -0.000000
0.262740 0.002171 0.003371 -0.000000
0.264911 0.002171 0.003371 -0.000000
0.267082 0.002171 0.003371 -0.000000
0.269253 0.002171 0.003371 -0.000000
0.271424 0.002171 0.003371 -0.000000
0.273595 0.002171 0.003371 -0.000000
0.275766 0.002171 0.003371 -0.000000
0.277937 0.002171 0.003371 -0.000000
0.280108 0.002171 0.003371 -0.000000
0.282280 0.002171 0.003371 -0.000000
0.284451 0.002171 0.003371 -0.000000
0.286622 0.002171 0.003371 -0.000000
0.288793 0.002171 0.003371 -0.000000
0.290964 0.002171 0.003371 -0.000000
0.293135 0.002171 0.003371 -0.000000
0.295306 0.002171 0.003371 -0.000000
0.297477 0.002171 0.003371 -0.000000
0.299648 0.002171 0.003371 -0.000000
0.301819 0.002171 0.003371 -0.000000
0.303990 0.002171 0.003371 -0.000000
0.306161 0.002171 0.003371 -0.000000
0.308332 0.002171 0.003371 -0.000000
0.310504 0.002171 0.003371 -0.000000
0.312675 0.002171 0.003371 -0.000000
0.314846 0.002171 0.003371 -0.000000
0.317017 0.002171 0.003371 -0.000000
0.319188 0.002171 0.003371 -0.000000
0.321359 0.002171 0.003371 -0.000000
0.323530 0.002171 0.003371 -0.000000
0.325701 0.002171 0.003371 -0.000000
0.327872 0.002171 0.003371 -0.000000
0.330043 0.002171 0.003371 -0.000000
0.332214 0.002171 0.003371 -0.000000
0.334385 0.002171 0.003371 -0.000000
0.336556 0.002171 0.003371 -0.000000
0.338727 0.002171 0.003371 -0.000000
0.340898 0.002171 0.003371 -0.000000
0.343069 0.002171 0.003371 -0.000000
0.345240 0.002171 0.003371 -0.000000
0.347411 0.002171 0.003371 -0.000000
0.349582 0.002171 0.003371 -0.000000
0.351753 0.002171 0.003371 -0.000000
0.353924 0.002171 0.003371 -0.000000
0.356095 0.002171 0.003371 -0.000000
0.358266 0.002171 0.003371 -0.000000
0.360437 0.002171 0.003371 -0.000000
0.362608 0.002171 0.003371 -0.000000
0.364779 0.002171 0.003371 -0.000000
0.366950 0.002171 0.003371 -0.000000
0.369121 0.002171 0.003371 -0.000000
0.371292 0.002171 0.003371 -0.000000
0.373463 0.002171 0.003371 -0.000000
0.375634 0.002171 0.003371 -0.000000
0.377805 0.002171 0.003371 -0.000000
0.379976 0.002171 0.003371 -0.000000
0.382147 0.002171 0.003371 -0.000000
0.384318 0.002171 0.003371 -0.000000
0.386489 0.002171 0.003371 -0.000000
0.388660 0.002171 0.003371 -0.000000
0.390831 0.002171 0.003371 -0.000000
0.393002 0.002171 0.003371 -0.000000
0.395173 0.002171 0.003371 -0.000000
0.397344 0.002171 0.003371 -0.000000
0.399515 0.002171 0.003371 -0.000000
0.401686 0.002171 0.003371 -0.000000
0.403857 0.002171 0.003371 -0.000000
0.406028 0.002171 0.003371 -0.000000
0.408199 0.002171 0.003371 -0.000000
0.410370 0.002171 0.003371 -0.000000
0.412541 0.002171 0.003371 -0.000000
0.414712 0.002171 0.003371 -0.000000
0.416883 0.002171 0.003371 -0.000000
0.419054 0.002171 0.003371 -0.000000
0.421225 0.002171 0.003371 -0.000000
0.423396 0.002171 0.003371 -0.000000
0.425567 0.002171 0.003371 -0.000000
0.427738 0.002171 0.003371 -0.000000
0.429909 0.002171 0.003371 -0.000000
0.432080 0.002171 0.003371 -0.000000
0.434251 0.002171 0.003371 -0.000000
0.436422 0.002171 0.003371 -0.000000
0.438593 0.002171 0.003371 -0.000000
0.440764 0.002171 0.003371 -0.000000
0.442935 0.002171 0.003371 -0.000000
0.445106 0.002171 0.003371 -0.000000
