Gauge gauge_0 Location: X=1.02, Y=0.0
Time(s) dt(s) Depth(m) Elevation(m)
0.100000 0.100000 0.000009 -0.499991
0.102154 0.002154 0.000033 -0.499967
0.103971 0.001817 0.000061 -0.499939
0.105800 0.001829 0.000110 -0.499890
0.107623 0.001823 0.000205 -0.499795
0.109520 0.001897 0.000357 -0.499643
0.111527 0.002007 0.000496 -0.499504
0.113737 0.002210 0.000659 -0.499341
0.116266 0.002529 0.000895 -0.499105
0.119096 0.002830 0.001214 -0.498786
0.122256 0.003160 0.001515 -0.498485
0.125885 0.003628 0.001795 -0.498205
0.130135 0.004251 0.002043 -0.497957
0.135038 0.004903 0.002243 -0.497757
0.140683 0.005644 0.002402 -0.497598
0.147043 0.006361 0.002521 -0.497479
0.154299 0.007256 0.002574 -0.497426
0.162628 0.008329 0.002549 -0.497451
0.171966 0.009338 0.002463 -0.497537
0.182078 0.010111 0.002364 -0.497636
0.192855 0.010777 0.002262 -0.497738
0.200000 0.007145 0.002198 -0.497802
0.200000 0.000000 0.002198 -0.497802
0.211263 0.011263 0.002109 -0.497891
0.221421 0.010158 0.002029 -0.497971
0.232860 0.011439 0.001947 -0.498053
0.244353 0.011493 0.001863 -0.498137
0.255851 0.011498 0.001776 -0.498224
0.267379 0.011528 0.001687 -0.498313
0.279054 0.011675 0.001597 -0.498403
0.290973 0.011919 0.001508 -0.498492
0.300000 0.009027 0.001443 -0.498557
0.300000 0.000000 0.001443 -0.498557
0.312500 0.012500 0.001363 -0.498637
0.324049 0.011549 0.001289 -0.498711
0.337347 0.013298 0.001214 -0.498786
0.351063 0.013716 0.001147 -0.498853
0.365044 0.013981 0.001085 -0.498915
0.379187 0.014143 0.001032 -0.498968
0.393595 0.014408 0.000986 -0.499014
0.400000 0.006405 0.000968 -0.499032
0.413023 0.013023 0.000944 -0.499056
0.423009 0.009986 0.000927 -0.499073
0.434074 0.011065 0.000922 -0.499078
0.445365 0.011291 0.000927 -0.499073
0.457255 0.011890 0.000933 -0.499067
0.468791 0.011536 0.000944 -0.499056
0.480939 0.012148 0.000958 -0.499042
0.492822 0.011884 0.000973 -0.499027
0.500000 0.007178 0.000983 -0.499017
0.512212 0.012212 0.001011 -0.498989
0.522199 0.009988 0.001030 -0.498970
0.533585 0.011386 0.001060 -0.498940
0.544952 0.011366 0.001091 -0.498909
0.556396 0.011444 0.001125 -0.498875
0.568064 0.011669 0.001159 -0.498841
0.579958 0.011894 0.001194 -0.498806
0.592128 0.012169 0.001228 -0.498772
0.600000 0.007872 0.001248 -0.498752
0.600000 0.000000 0.001248 -0.498752
0.612853 0.012853 0.001287 -0.498713
0.622555 0.009702 0.001311 -0.498689
0.634262 0.011708 0.001345 -0.498655
0.646169 0.011907 0.001381 -0.498619
0.659767 0.013598 0.001424 -0.498576
0.672171 0.012404 0.001461 -0.498539
0.686591 0.014420 0.001502 -0.498498
0.699304 0.012713 0.001533 -0.498467
0.700000 0.000696 0.001534 -0.498466
0.700000 0.000000 0.001534 -0.498466
0.715079 0.015079 0.001573 -0.498427
0.723729 0.008650 0.001592 -0.498408
0.734337 0.010608 0.001622 -0.498378
0.746436 0.012099 0.001656 -0.498344
0.759992 0.013556 0.001692 -0.498308
0.773086 0.013094 0.001719 -0.498281
0.788277 0.015191 0.001739 -0.498261
0.800000 0.011723 0.001741 -0.498259
0.800000 0.000000 0.001741 -0.498259
0.814670 0.014670 0.001736 -0.498264
0.823887 0.009218 0.001731 -0.498269
0.834572 0.010685 0.001729 -0.498271
0.846175 0.011603 0.001723 -0.498277
0.859956 0.013781 0.001711 -0.498289
0.872407 0.012451 0.001692 -0.498308
0.886677 0.014270 0.001660 -0.498340
0.899160 0.012482 0.001625 -0.498375
0.900000 0.000840 0.001623 -0.498377
0.900000 0.000000 0.001623 -0.498377
0.914735 0.014735 0.001583 -0.498417
0.923695 0.008959 0.001561 -0.498439
0.934160 0.010465 0.001549 -0.498451
0.945440 0.011281 0.001537 -0.498463
0.958033 0.012592 0.001526 -0.498474
0.970688 0.012655 0.001514 -0.498486
0.983936 0.013248 0.001504 -0.498496
0.996680 0.012744 0.001492 -0.498508
1.000000 0.003320 0.001489 -0.498511
1.014381 0.014381 0.001483 -0.498517
1.023495 0.009113 0.001477 -0.498523
1.034393 0.010898 0.001477 -0.498523
1.046099 0.011706 0.001479 -0.498521
1.059450 0.013351 0.001485 -0.498515
1.071999 0.012549 0.001492 -0.498508
1.086370 0.014371 0.001501 -0.498499
1.098717 0.012347 0.001508 -0.498492
1.100000 0.001283 0.001509 -0.498491
1.100000 0.000000 0.001509 -0.498491
1.115279 0.015279 0.001526 -0.498474
1.123995 0.008716 0.001534 -0.498466
1.134335 0.010340 0.001556 -0.498444
1.145637 0.011302 0.001583 -0.498417
1.158978 0.013341 0.001617 -0.498383
1.171389 0.012410 0.001647 -0.498353
1.185171 0.013782 0.001680 -0.498320
1.197544 0.012373 0.001708 -0.498292
1.200000 0.002456 0.001713 -0.498287
1.214644 0.014644 0.001748 -0.498252
1.223571 0.008927 0.001765 -0.498235
1.233922 0.010351 0.001791 -0.498209
1.245014 0.011092 0.001817 -0.498183
1.258132 0.013117 0.001848 -0.498152
1.270079 0.011948 0.001868 -0.498132
1.283758 0.013679 0.001881 -0.498119
1.295683 0.011925 0.001883 -0.498117
1.300000 0.004317 0.001882 -0.498118
1.314337 0.014337 0.001875 -0.498125
1.323431 0.009094 0.001868 -0.498132
1.333863 0.010432 0.001864 -0.498136
1.344821 0.010958 0.001858 -0.498142
1.357567 0.012746 0.001849 -0.498151
1.369278 0.011711 0.001836 -0.498164
1.382510 0.013231 0.001816 -0.498184
1.394289 0.011780 0.001794 -0.498206
1.400000 0.005711 0.001781 -0.498219
1.414083 0.014083 0.001755 -0.498245
1.423545 0.009462 0.001736 -0.498264
1.434382 0.010837 0.001721 -0.498279
1.445441 0.011059 0.001707 -0.498293
1.458271 0.012830 0.001693 -0.498307
1.469770 0.011499 0.001683 -0.498317
1.482974 0.013204 0.001672 -0.498328
1.494503 0.011529 0.001663 -0.498337
1.500000 0.005497 0.001660 -0.498340
1.513876 0.013876 0.001659 -0.498341
1.523254 0.009377 0.001656 -0.498344
1.534024 0.010771 0.001662 -0.498338
1.544907 0.010883 0.001672 -0.498328
1.557451 0.012543 0.001689 -0.498311
1.568691 0.011240 0.001703 -0.498297
1.581542 0.012851 0.001721 -0.498279
1.592824 0.011282 0.001738 -0.498262
1.600000 0.007176 0.001749 -0.498251
1.613362 0.013362 0.001778 -0.498222
1.623495 0.010133 0.001795 -0.498205
1.635060 0.011565 0.001819 -0.498181
1.646022 0.010962 0.001842 -0.498158
1.658637 0.012616 0.001870 -0.498130
1.669638 0.011001 0.001894 -0.498106
1.682388 0.012750 0.001919 -0.498081
1.693432 0.011043 0.001937 -0.498063
1.700000 0.006568 0.001946 -0.498054
1.713093 0.013093 0.001966 -0.498034
1.722941 0.009848 0.001973 -0.498027
1.734167 0.011226 0.001986 -0.498014
