Gauge gauge_2 Location: X=1.02, Y=0.1
Time(s) dt(s) Depth(m) Elevation(m)
0.100000 0.100000 0.000012 -0.049738
0.102154 0.002154 0.000021 -0.049729
0.103971 0.001817 0.000021 -0.049729
0.105800 0.001829 0.000021 -0.049729
0.107623 0.001823 0.000021 -0.049729
0.109520 0.001897 0.000021 -0.049729
0.111527 0.002007 0.000021 -0.049729
0.113737 0.002210 0.000021 -0.049729
0.116266 0.002529 0.000021 -0.049729
0.119096 0.002830 0.000021 -0.049729
0.122256 0.003160 0.000021 -0.049729
0.125885 0.003628 0.000021 -0.049729
0.130135 0.004251 0.000021 -0.049729
0.135038 0.004903 0.000021 -0.049729
0.140683 0.005644 0.000022 -0.049728
0.147043 0.006361 0.000022 -0.049728
0.154299 0.007256 0.000022 -0.049728
0.162628 0.008329 0.000022 -0.049728
0.171966 0.009338 0.000022 -0.049728
0.182078 0.010111 0.000023 -0.049727
0.192855 0.010777 0.000023 -0.049727
0.200000 0.007145 0.000023 -0.049727
0.200000 0.000000 0.000023 -0.049727
0.211263 0.011263 0.000032 -0.049718
0.221421 0.010158 0.000033 -0.049717
0.232860 0.011439 0.000033 -0.049717
0.244353 0.011493 0.000034 -0.049716
0.255851 0.011498 0.000034 -0.049716
0.267379 0.011528 0.000035 -0.049715
0.279054 0.011675 0.000035 -0.049715
0.290973 0.011919 0.000036 -0.049714
0.300000 0.009027 0.000036 -0.049714
0.300000 0.000000 0.000036 -0.049714
0.312500 0.012500 0.000046 -0.049704
0.324049 0.011549 0.000047 -0.049703
0.337347 0.013298 0.000048 -0.049702
0.351063 0.013716 0.000049 -0.049701
0.365044 0.013981 0.000050 -0.049700
0.379187 0.014143 0.000051 -0.049699
0.393595 0.014408 0.000052 -0.049698
0.400000 0.006405 0.000052 -0.049698
0.413023 0.013023 0.000062 -0.049688
0.423009 0.009986 0.000063 -0.049687
0.434074 0.011065 0.000064 -0.049686
0.445365 0.011291 0.000065 -0.049685
0.457255 0.011890 0.000066 -0.049684
0.468791 0.011536 0.000068 -0.049682
0.480939 0.012148 0.000069 -0.049681
0.492822 0.011884 0.000070 -0.049680
0.500000 0.007178 0.000071 -0.049679
0.512212 0.012212 0.000081 -0.049669
0.522199 0.009988 0.000082 -0.049668
0.533585 0.011386 0.000084 -0.049666
0.544952 0.011366 0.000085 -0.049665
0.556396 0.011444 0.000087 -0.049663
0.568064 0.011669 0.000088 -0.049662
0.579958 0.011894 0.000090 -0.049660
0.592128 0.012169 0.000092 -0.049658
0.600000 0.007872 0.000093 -0.049657
0.600000 0.000000 0.000093 -0.049657
0.612853 0.012853 0.000104 -0.049646
0.622555 0.009702 0.000105 -0.049645
0.634262 0.011708 0.000107 -0.049643
0.646169 0.011907 0.000109 -0.049641
0.659767 0.013598 0.000112 -0.049638
0.672171 0.012404 0.000114 -0.049636
0.686591 0.014420 0.000116 -0.049634
0.699304 0.012713 0.000119 -0.049631
0.700000 0.000696 0.000119 -0.049631
0.700000 0.000000 0.000119 -0.049631
0.715079 0.015079 0.000130 -0.049620
0.723729 0.008650 0.000132 -0.049618
0.734337 0.010608 0.000134 -0.049616
0.746436 0.012099 0.000137 -0.049613
0.759992 0.013556 0.000140 -0.049610
0.773086 0.013094 0.000142 -0.049608
0.788277 0.015191 0.000146 -0.049604
0.800000 0.011723 0.000148 -0.049602
0.800000 0.000000 0.000148 -0.049602
0.814670 0.014670 0.000160 -0.049590
0.823887 0.009218 0.000163 -0.049587
0.834572 0.010685 0.000165 -0.049585
0.846175 0.011603 0.000168 -0.049582
0.859956 0.013781 0.000172 -0.049578
0.872407 0.012451 0.000175 -0.049575
0.886677 0.014270 0.000179 -0.049571
0.899160 0.012482 0.000182 -0.049568
0.900000 0.000840 0.000182 -0.049568
0.900000 0.000000 0.000182 -0.049568
0.914735 0.014735 0.000195 -0.049555
0.923695 0.008959 0.000197 -0.049553
0.934160 0.010465 0.000200 -0.049550
0.945440 0.011281 0.000203 -0.049547
0.958033 0.012592 0.000207 -0.049543
0.970688 0.012655 0.000211 -0.049539
0.983936 0.013248 0.000215 -0.049535
0.996680 0.012744 0.000219 -0.049531
1.000000 0.003320 0.000220 -0.049530
1.014381 0.014381 0.000233 -0.049517
1.023495 0.009113 0.000236 -0.049514
1.034393 0.010898 0.000240 -0.049510
1.046099 0.011706 0.000244 -0.049506
1.059450 0.013351 0.000248 -0.049502
1.071999 0.012549 0.000252 -0.049498
1.086370 0.014371 0.000257 -0.049493
1.098717 0.012347 0.000262 -0.049488
1.100000 0.001283 0.000262 -0.049488
1.100000 0.000000 0.000262 -0.049488
1.115279 0.015279 0.000276 -0.049474
1.123995 0.008716 0.000280 -0.049470
1.134335 0.010340 0.000284 -0.049466
1.145637 0.011302 0.000288 -0.049462
1.158978 0.013341 0.000293 -0.049457
1.171389 0.012410 0.000298 -0.049452
1.185171 0.013782 0.000304 -0.049446
1.197544 0.012373 0.000309 -0.049441
1.200000 0.002456 0.000310 -0.049440
1.214644 0.014644 0.000325 -0.049425
1.223571 0.008927 0.000329 -0.049421
1.233922 0.010351 0.000334 -0.049416
1.245014 0.011092 0.000339 -0.049411
1.258132 0.013117 0.000345 -0.049405
1.270079 0.011948 0.000350 -0.049400
1.283758 0.013679 0.000357 -0.049393
1.295683 0.011925 0.000362 -0.049388
1.300000 0.004317 0.000364 -0.049386
1.314337 0.014337 0.000380 -0.049370
1.323431 0.009094 0.000384 -0.049366
1.333863 0.010432 0.000389 -0.049361
1.344821 0.010958 0.000395 -0.049355
1.357567 0.012746 0.000401 -0.049349
1.369278 0.011711 0.000407 -0.049343
1.382510 0.013231 0.000414 -0.049336
1.394289 0.011780 0.000420 -0.049330
1.400000 0.005711 0.000423 -0.049327
1.414083 0.014083 0.000439 -0.049311
1.423545 0.009462 0.000443 -0.049307
1.434382 0.010837 0.000449 -0.049301
1.445441 0.011059 0.000455 -0.049295
1.458271 0.012830 0.000461 -0.049289
1.469770 0.011499 0.000467 -0.049283
1.482974 0.013204 0.000474 -0.049276
1.494503 0.011529 0.000480 -0.049270
1.500000 0.005497 0.000483 -0.049267
1.513876 0.013876 0.000499 -0.049251
1.523254 0.009377 0.000504 -0.049246
1.534024 0.010771 0.000510 -0.049240
1.544907 0.010883 0.000515 -0.049235
1.557451 0.012543 0.000522 -0.049228
1.568691 0.011240 0.000528 -0.049222
1.581542 0.012851 0.000535 -0.049215
1.592824 0.011282 0.000541 -0.049209
1.600000 0.007176 0.000545 -0.049205
1.613362 0.013362 0.000561 -0.049189
1.623495 0.010133 0.000567 -0.049183
1.635060 0.011565 0.000573 -0.049177
1.646022 0.010962 0.000579 -0.049171
1.658637 0.012616 0.000586 -0.049164
1.669638 0.011001 0.000592 -0.049158
1.682388 0.012750 0.000599 -0.049151
1.693432 0.011043 0.000605 -0.049145
1.700000 0.006568 0.000609 -0.049141
1.713093 0.013093 0.000625 -0.049125
1.722941 0.009848 0.000630 -0.049120
1.734167 0.011226 0.000637 -0.049113
1.744870 0.010704 0.000643 -0.049107
1.757132 0.012262 0.000649 -0.049101
1.767863 0.010731 0.000656 -0.049094
1.780197 0.012334 0.000663 -0.049087
1.790934 0.010737 0.000669 -0.049081
1.800000 0.009066 0.000674 -0.049076
1.800000 0.000000 0.000674 -0.049076
1.811944 0.011944 0.000689 -0.049061
1.823379 0.011435 0.000696 -0.049054
1.836089 0.012710 0.000703 -0.049047
1.846480 0.010391 0.000709 -0.049041
1.858208 0.011728 0.000715 -0.049035
1.868719 0.010511 0.000721 -0.049029
1.880647 0.011928 0.000728 -0.049022
1.891141 0.010494 0.000734 -0.049016
1.900000 0.008859 0.000739 -0.049011
1.900000 0.000000 0.000739 -0.049011
1.911557 0.011557 0.000754 -0.048996
1.922677 0.011120 0.000761 -0.048989
1.934914 0.012238 0.000767 -0.048983
1.945242 0.010327 0.000773 -0.048977
1.956762 0.011521 0.000780 -0.048970
1.967003 0.010240 0.000785 -0.048965
1.978493 0.011490 0.000792 -0.048958
1.988711 0.010218 0.000798 -0.048952
2.000000 0.011289 0.000804 -0.048946
2.000000 0.000000 0.000804 -0.048946
2.010333 0.010333 0.000819 -0.048931
2.020922 0.010589 0.000825 -0.048925
2.031746 0.010824 0.000831 -0.048919
2.042988 0.011242 0.000837 -0.048913
2.054068 0.011079 0.000843 -0.048907
2.065446 0.011378 0.000850 -0.048900
