2026-08-08 00:55:18 - === Simulation Started at: 2026-08-08 00:55:18 ===
2026-08-08 00:55:18 - cells: 254, 200, square resolution: 0.01
2026-08-08 00:56:14 - Step:    51 | Sim Clock Time:     5.10s | Max Depth: 0.005730m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    52 | Sim Clock Time:     5.20s | Max Depth: 0.005961m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    53 | Sim Clock Time:     5.30s | Max Depth: 0.006191m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    54 | Sim Clock Time:     5.40s | Max Depth: 0.006361m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    55 | Sim Clock Time:     5.50s | Max Depth: 0.006488m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    56 | Sim Clock Time:     5.60s | Max Depth: 0.006600m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    57 | Sim Clock Time:     5.70s | Max Depth: 0.006715m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    58 | Sim Clock Time:     5.80s | Max Depth: 0.006887m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    59 | Sim Clock Time:     5.90s | Max Depth: 0.007057m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    60 | Sim Clock Time:     6.00s | Max Depth: 0.007230m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    61 | Sim Clock Time:     6.10s | Max Depth: 0.007410m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    62 | Sim Clock Time:     6.20s | Max Depth: 0.007577m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    63 | Sim Clock Time:     6.30s | Max Depth: 0.007752m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    64 | Sim Clock Time:     6.40s | Max Depth: 0.007916m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    65 | Sim Clock Time:     6.50s | Max Depth: 0.008065m | Min Depth: 0.000001m
2026-08-08 00:56:14 - Step:    66 | Sim Clock Time:     6.60s | Max Depth: 0.008215m | Min Depth: 0.000001m
2026-08-08 00:56:15 - Step:    67 | Sim Clock Time:     6.70s | Max Depth: 0.008363m | Min Depth: 0.000001m
2026-08-08 00:56:15 - Step:    68 | Sim Clock Time:     6.80s | Max Depth: 0.008476m | Min Depth: 0.000001m
2026-08-08 00:56:15 - Step:    69 | Sim Clock Time:     6.90s | Max Depth: 0.008577m | Min Depth: 0.000001m
