Gauge gauge_3 Location: X=1.0, Y=1.696
Time(s) dt(s) Depth(m) Elevation(m)
0.017486 0.017486 0.102579 0.000000
0.034972 0.017486 0.102579 0.000000
0.052459 0.017486 0.102579 0.000000
0.069945 0.017486 0.102579 0.000000
0.087431 0.017486 0.102579 0.000000
0.104917 0.017486 0.102579 0.000000
0.122403 0.017486 0.102579 0.000000
0.139889 0.017486 0.102579 0.000000
0.157375 0.017486 0.102579 -0.000000
0.174860 0.017485 0.102579 -0.000000
0.192345 0.017485 0.102579 -0.000000
0.209830 0.017485 0.102579 -0.000000
0.227314 0.017484 0.102579 -0.000000
0.244798 0.017484 0.102579 -0.000000
0.262282 0.017484 0.102579 -0.000000
0.279766 0.017484 0.102579 -0.000000
0.297249 0.017483 0.102579 -0.000000
0.314732 0.017483 0.102579 -0.000000
0.332215 0.017483 0.102579 -0.000000
0.349697 0.017483 0.102579 -0.000000
0.367180 0.017482 0.102579 -0.000000
0.384662 0.017482 0.102579 -0.000000
0.402144 0.017482 0.102579 -0.000000
0.419626 0.017482 0.102579 -0.000000
0.437107 0.017482 0.102579 -0.000000
0.454589 0.017482 0.102579 -0.000000
0.472071 0.017482 0.102579 -0.000000
0.489552 0.017482 0.102579 -0.000000
0.507034 0.017481 0.102579 -0.000000
0.524515 0.017481 0.102579 -0.000000
0.541996 0.017481 0.102579 -0.000000
0.559478 0.017481 0.102579 -0.000000
0.576959 0.017481 0.102579 -0.000000
0.594441 0.017481 0.102579 -0.000000
0.611922 0.017481 0.102579 -0.000000
0.629403 0.017481 0.102579 -0.000000
0.646885 0.017481 0.102579 -0.000000
0.664366 0.017481 0.102578 -0.000000
0.681848 0.017481 0.102578 -0.000000
0.699329 0.017482 0.102578 -0.000000
0.716811 0.017482 0.102578 -0.000000
0.734292 0.017482 0.102578 -0.000000
0.751774 0.017482 0.102578 -0.000001
0.769256 0.017482 0.102578 -0.000001
0.786738 0.017482 0.102578 -0.000001
0.804220 0.017482 0.102578 -0.000001
0.821702 0.017482 0.102578 -0.000001
0.839184 0.017482 0.102578 -0.000001
0.856666 0.017482 0.102577 -0.000001
0.874148 0.017482 0.102577 -0.000001
0.891630 0.017482 0.102578 -0.000001
0.909113 0.017482 0.102578 -0.000001
0.926595 0.017482 0.102578 -0.000001
0.944077 0.017482 0.102578 -0.000000
0.961560 0.017483 0.102579 0.000000
0.979043 0.017483 0.102580 0.000001
0.996525 0.017483 0.102581 0.000002
1.014008 0.017483 0.102582 0.000004
1.031491 0.017483 0.102584 0.000005
1.048973 0.017483 0.102586 0.000007
1.066456 0.017483 0.102588 0.000009
1.083939 0.017483 0.102590 0.000011
1.101422 0.017483 0.102592 0.000013
1.118905 0.017483 0.102594 0.000015
1.136388 0.017483 0.102596 0.000018
1.153870 0.017483 0.102598 0.000020
1.171353 0.017483 0.102600 0.000022
1.188836 0.017483 0.102602 0.000024
1.206319 0.017483 0.102604 0.000026
1.223802 0.017483 0.102606 0.000027
1.241284 0.017483 0.102608 0.000029
1.258767 0.017483 0.102609 0.000031
1.276250 0.017483 0.102610 0.000032
1.293732 0.017483 0.102611 0.000033
1.311215 0.017483 0.102612 0.000034
1.328697 0.017482 0.102613 0.000035
1.346180 0.017482 0.102614 0.000035
1.363662 0.017482 0.102614 0.000036
1.381144 0.017482 0.102615 0.000036
1.398627 0.017482 0.102615 0.000037
1.416109 0.017482 0.102616 0.000037
1.433591 0.017482 0.102616 0.000037
1.451073 0.017482 0.102616 0.000038
1.468555 0.017482 0.102617 0.000038
1.486037 0.017482 0.102617 0.000038
1.503519 0.017482 0.102617 0.000039
1.521001 0.017482 0.102617 0.000039
1.538482 0.017482 0.102617 0.000039
1.555964 0.017482 0.102618 0.000039
1.573446 0.017482 0.102618 0.000039
1.590927 0.017482 0.102617 0.000039
1.608409 0.017481 0.102617 0.000039
1.625890 0.017481 0.102617 0.000038
1.643371 0.017481 0.102616 0.000038
1.660852 0.017481 0.102616 0.000037
1.678333 0.017481 0.102615 0.000037
1.695814 0.017481 0.102614 0.000036
1.713295 0.017481 0.102614 0.000035
1.730776 0.017481 0.102613 0.000034
1.748257 0.017481 0.102612 0.000034
1.765738 0.017481 0.102612 0.000033
1.783218 0.017481 0.102611 0.000033
1.800699 0.017480 0.102611 0.000032
1.818179 0.017480 0.102610 0.000032
1.835659 0.017480 0.102610 0.000031
1.853139 0.017480 0.102610 0.000031
1.870620 0.017480 0.102610 0.000031
1.888100 0.017480 0.102609 0.000031
1.905579 0.017480 0.102609 0.000031
1.923059 0.017480 0.102609 0.000031
1.940539 0.017480 0.102609 0.000031
1.958019 0.017480 0.102609 0.000030
1.975498 0.017480 0.102609 0.000030
1.992978 0.017480 0.102609 0.000030
2.010457 0.017480 0.102609 0.000030
2.027937 0.017479 0.102609 0.000030
2.045416 0.017479 0.102609 0.000031
2.062896 0.017479 0.102609 0.000031
2.080375 0.017479 0.102609 0.000031
2.097855 0.017479 0.102609 0.000031
2.115334 0.017479 0.102609 0.000031
2.132813 0.017479 0.102609 0.000031
2.150293 0.017479 0.102610 0.000031
2.167772 0.017479 0.102610 0.000031
2.185252 0.017479 0.102610 0.000031
2.202731 0.017480 0.102610 0.000031
2.220211 0.017480 0.102610 0.000031
2.237691 0.017480 0.102610 0.000031
2.255170 0.017480 0.102610 0.000031
2.272650 0.017480 0.102609 0.000031
2.290131 0.017480 0.102609 0.000031
2.307611 0.017480 0.102609 0.000030
2.325092 0.017481 0.102608 0.000029
2.342572 0.017481 0.102607 0.000028
2.360053 0.017481 0.102605 0.000026
2.377535 0.017481 0.102603 0.000024
2.395017 0.017482 0.102601 0.000022
2.412499 0.017482 0.102598 0.000020
2.429981 0.017482 0.102596 0.000017
2.447464 0.017483 0.102593 0.000015
2.464948 0.017483 0.102591 0.000013
2.482431 0.017484 0.102589 0.000010
2.499916 0.017484 0.102587 0.000008
2.517401 0.017485 0.102585 0.000006
2.534886 0.017485 0.102583 0.000005
2.552371 0.017485 0.102582 0.000004
2.569857 0.017485 0.102581 0.000003
2.587342 0.017485 0.102581 0.000002
2.604827 0.017485 0.102581 0.000002
2.622313 0.017485 0.102581 0.000002
2.639798 0.017485 0.102581 0.000003
2.657283 0.017485 0.102582 0.000003
2.674768 0.017485 0.102582 0.000004
2.692253 0.017485 0.102583 0.000005
2.709739 0.017485 0.102584 0.000005
2.727224 0.017485 0.102585 0.000006
2.744709 0.017485 0.102586 0.000007
2.762194 0.017485 0.102587 0.000008
2.779679 0.017485 0.102588 0.000010
2.797164 0.017485 0.102590 0.000011
2.814649 0.017485 0.102591 0.000013
2.832134 0.017485 0.102593 0.000015
2.849619 0.017485 0.102596 0.000017
2.867104 0.017485 0.102598 0.000020
2.884589 0.017485 0.102601 0.000023
2.902074 0.017485 0.102605 0.000026
2.919559 0.017485 0.102608 0.000029
2.937044 0.017485 0.102612 0.000033
2.954529 0.017485 0.102616 0.000037
2.972014 0.017485 0.102620 0.000041
2.989499 0.017485 0.102623 0.000045
3.006984 0.017485 0.102627 0.000049
3.024469 0.017485 0.102631 0.000052
3.041954 0.017485 0.102634 0.000055
3.059439 0.017485 0.102637 0.000058
3.076924 0.017485 0.102640 0.000061
3.094409 0.017485 0.102642 0.000064
3.111894 0.017485 0.102644 0.000066
3.129380 0.017485 0.102646 0.000067
3.146865 0.017485 0.102647 0.000068
3.164350 0.017485 0.102648 0.000069
3.181835 0.017485 0.102648 0.000069
3.199320 0.017485 0.102648 0.000069
3.216805 0.017485 0.102647 0.000069
3.234291 0.017485 0.102646 0.000068
3.251776 0.017485 0.102645 0.000066
3.269261 0.017485 0.102643 0.000064
3.286747 0.017485 0.102641 0.000062
3.304232 0.017485 0.102638 0.000059
3.321717 0.017485 0.102635 0.000056
3.339203 0.017485 0.102631 0.000053
3.356688 0.017485 0.102627 0.000049
3.374174 0.017485 0.102623 0.000045
3.391659 0.017485 0.102618 0.000040
3.409144 0.017485 0.102613 0.000035
3.426630 0.017485 0.102608 0.000029
3.444115 0.017485 0.102602 0.000023
3.461601 0.017485 0.102596 0.000017
3.479086 0.017485 0.102589 0.000011
3.496572 0.017485 0.102582 0.000004
3.514057 0.017485 0.102575 -0.000004
3.531543 0.017485 0.102568 -0.000011
3.549028 0.017485 0.102560 -0.000019
3.566514 0.017485 0.102552 -0.000027
3.583999 0.017485 0.102543 -0.000035
3.601485 0.017485 0.102535 -0.000044
3.618970 0.017486 0.102526 -0.000053
3.636456 0.017486 0.102517 -0.000061
3.653941 0.017486 0.102508 -0.000070
3.671427 0.017486 0.102499 -0.000080
3.688913 0.017486 0.102490 -0.000089
3.706399 0.017486 0.102480 -0.000098
3.723885 0.017486 0.102471 -0.000108
3.741371 0.017486 0.102462 -0.000117
