Gauge gauge_2 Location: X=4.521, Y=2.196
Time(s) dt(s) Depth(m) Elevation(m)
0.017486 0.017486 0.005399 0.000000
0.034972 0.017486 0.005399 0.000000
0.052459 0.017486 0.005399 0.000000
0.069945 0.017486 0.005399 -0.000000
0.087431 0.017486 0.005399 -0.000000
0.104917 0.017486 0.005399 -0.000000
0.122403 0.017486 0.005399 -0.000000
0.139889 0.017486 0.005399 -0.000000
0.157375 0.017486 0.005399 -0.000000
0.174860 0.017485 0.005399 -0.000000
0.192345 0.017485 0.005399 -0.000000
0.209830 0.017485 0.005399 -0.000000
0.227314 0.017484 0.005399 -0.000000
0.244798 0.017484 0.005398 -0.000000
0.262282 0.017484 0.005398 -0.000000
0.279766 0.017484 0.005398 -0.000000
0.297249 0.017483 0.005398 -0.000000
0.314732 0.017483 0.005398 -0.000000
0.332215 0.017483 0.005398 -0.000000
0.349697 0.017483 0.005398 -0.000000
0.367180 0.017482 0.005398 -0.000000
0.384662 0.017482 0.005398 -0.000000
0.402144 0.017482 0.005398 -0.000000
0.419626 0.017482 0.005398 -0.000000
0.437107 0.017482 0.005398 -0.000000
0.454589 0.017482 0.005398 -0.000000
0.472071 0.017482 0.005398 -0.000000
0.489552 0.017482 0.005398 -0.000001
0.507034 0.017481 0.005398 -0.000001
0.524515 0.017481 0.005398 -0.000001
0.541996 0.017481 0.005398 -0.000001
0.559478 0.017481 0.005397 -0.000001
0.576959 0.017481 0.005397 -0.000001
0.594441 0.017481 0.005397 -0.000001
0.611922 0.017481 0.005397 -0.000002
0.629403 0.017481 0.005397 -0.000002
0.646885 0.017481 0.005396 -0.000002
0.664366 0.017481 0.005396 -0.000002
0.681848 0.017481 0.005396 -0.000003
0.699329 0.017482 0.005396 -0.000003
0.716811 0.017482 0.005395 -0.000003
0.734292 0.017482 0.005395 -0.000004
0.751774 0.017482 0.005394 -0.000004
0.769256 0.017482 0.005394 -0.000005
0.786738 0.017482 0.005393 -0.000006
0.804220 0.017482 0.005392 -0.000006
0.821702 0.017482 0.005391 -0.000007
0.839184 0.017482 0.005391 -0.000008
0.856666 0.017482 0.005390 -0.000009
0.874148 0.017482 0.005389 -0.000010
0.891630 0.017482 0.005388 -0.000011
0.909113 0.017482 0.005387 -0.000012
0.926595 0.017482 0.005385 -0.000013
0.944077 0.017482 0.005384 -0.000014
0.961560 0.017483 0.005383 -0.000016
0.979043 0.017483 0.005382 -0.000017
0.996525 0.017483 0.005380 -0.000018
1.014008 0.017483 0.005379 -0.000020
1.031491 0.017483 0.005378 -0.000021
1.048973 0.017483 0.005376 -0.000022
