Time Gauge0 Gauge1 Gauge2 Gauge3 Gauge4 Gauge5
1.060000e+01 -1.519991e-03 -1.389971e-04 -3.703704e-04 6.808205e-03 1.007264e-04 -4.214128e-03
1.080000e+01 -1.830316e-03 -2.429936e-04 -5.426568e-04 8.299919e-03 1.087599e-03 -4.007352e-03
1.100000e+01 -2.143681e-03 -3.626171e-04 -7.367874e-04 9.644894e-03 2.478437e-03 -3.518329e-03
1.120000e+01 -2.451325e-03 -4.959829e-04 -9.586068e-04 1.086513e-02 4.258855e-03 -2.759838e-03
1.140000e+01 -2.756309e-03 -6.401545e-04 -1.209020e-03 1.200237e-02 6.213816e-03 -1.776304e-03
1.160000e+01 -3.059714e-03 -7.943568e-04 -1.491714e-03 1.306638e-02 8.090162e-03 -7.671809e-04
1.180000e+01 -3.359303e-03 -9.533888e-04 -1.815269e-03 1.402440e-02 9.764939e-03 2.697556e-04
1.200000e+01 -3.663369e-03 -1.112685e-03 -2.177712e-03 1.488009e-02 1.128928e-02 1.547518e-03
1.220000e+01 -3.979173e-03 -1.268618e-03 -2.576982e-03 1.561635e-02 1.262885e-02 3.449275e-03
1.240000e+01 -4.309583e-03 -1.419862e-03 -3.006301e-03 1.618416e-02 1.383433e-02 6.147674e-03
1.260000e+01 -4.654631e-03 -1.565413e-03 -3.449337e-03 1.659718e-02 1.490209e-02 9.036339e-03
1.280000e+01 -5.015710e-03 -1.701624e-03 -3.853872e-03 1.689209e-02 1.588386e-02 1.165051e-02
1.300000e+01 -5.387023e-03 -1.817673e-03 -4.200853e-03 1.708734e-02 1.673688e-02 1.410981e-02
1.320000e+01 -5.765604e-03 -1.916174e-03 -4.488070e-03 1.713909e-02 1.744358e-02 1.636100e-02
1.340000e+01 -6.149368e-03 -1.996074e-03 -4.723196e-03 1.703082e-02 1.805959e-02 1.847599e-02
1.360000e+01 -6.534690e-03 -2.061531e-03 -4.898074e-03 1.676183e-02 1.861174e-02 2.023268e-02
1.380000e+01 -6.930751e-03 -2.114727e-03 -5.022455e-03 1.634459e-02 1.901023e-02 2.123877e-02
1.400000e+01 -7.338745e-03 -2.159860e-03 -5.110720e-03 1.582310e-02 1.925901e-02 2.180746e-02
1.420000e+01 -7.756698e-03 -2.196700e-03 -5.171266e-03 1.524124e-02 1.935413e-02 2.210563e-02
