# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
2.8000000000e+01 2.3811066529e-05 2.3810931704e-05 1.7864126888e-05 1.0192170148e-07 1.8197979480e-09 1.4704781449e-05 4.6708690763e-05 2.0000000000e-02 8.9036538513e+01
2.9000000000e+01 2.2513575597e-05 2.2513432444e-05 1.6515998026e-05 1.0832612167e-07 1.9490728304e-09 1.5336492271e-05 4.4495121652e-05 2.0000000000e-02 8.8566846095e+01
3.0000000000e+01 2.1313306247e-05 2.1313154609e-05 1.5227278924e-05 1.1484382538e-07 2.0823011808e-09 1.5970788500e-05 4.2421565461e-05 2.0000000000e-02 8.8878246175e+01
3.1000000000e+01 2.0211845764e-05 2.0211685506e-05 1.4013663277e-05 1.2146113837e-07 2.2190433308e-09 1.6606453939e-05 4.0195885036e-05 2.0000000000e-02 8.8921239094e+01
3.2000000000e+01 1.9210164471e-05 1.9209995503e-05 1.2892093316e-05 1.2814347630e-07 2.3582550665e-09 1.7242800922e-05 3.8192700159e-05 2.0000000000e-02 8.8890123056e+01
3.3000000000e+01 1.8299917689e-05 1.8299739962e-05 1.1880835654e-05 1.3485810374e-07 2.4989659179e-09 1.7878900643e-05 3.6232322019e-05 2.0000000000e-02 8.9103517615e+01
3.4000000000e+01 1.7464116915e-05 1.7463930420e-05 1.0986321695e-05 1.4157736037e-07 2.6404958930e-09 1.8513327547e-05 3.4244164136e-05 2.0000000000e-02 8.8633370061e+01
3.5000000000e+01 1.6696502249e-05 1.6696306990e-05 1.0208886202e-05 1.4828801170e-07 2.7826850640e-09 1.9144006775e-05 3.2388434182e-05 2.0000000000e-02 8.9006398204e+01
3.6000000000e+01 1.5997448667e-05 1.5997244685e-05 9.5384329723e-06 1.5496309094e-07 2.9249388705e-09 1.9769562647e-05 3.0400332886e-05 2.0000000000e-02 8.8422235980e+01
3.7000000000e+01 1.5356771533e-05 1.5356558886e-05 8.9543134762e-06 1.6158691039e-07 3.0671752429e-09 2.0387883092e-05 2.8606118272e-05 2.0000000000e-02 8.8793548509e+01
3.8000000000e+01 1.4768706556e-05 1.4768485317e-05 8.4459081897e-06 1.6814777598e-07 3.2093819743e-09 2.0997027391e-05 2.6854481546e-05 2.0000000000e-02 8.8509084967e+01
3.9000000000e+01 1.4226438827e-05 1.4226209077e-05 8.0042213297e-06 1.7463961972e-07 3.3516126891e-09 2.1595066891e-05 2.5279762140e-05 2.0000000000e-02 8.8929200931e+01
4.0000000000e+01 1.3727076635e-05 1.3726838444e-05 7.6134960918e-06 1.8106623666e-07 3.4944111227e-09 2.2180234047e-05 2.3666209760e-05 2.0000000000e-02 8.8480043865e+01
4.1000000000e+01 1.3265857552e-05 1.3265610991e-05 7.2533189074e-06 1.8742751765e-07 3.6382228949e-09 2.2750957564e-05 2.2156014993e-05 2.0000000000e-02 8.7870961668e+01
4.2000000000e+01 1.2845516224e-05 1.2845261364e-05 6.9285643925e-06 1.9372176114e-07 3.7831652125e-09 2.3306401289e-05 2.0734269696e-05 2.0000000000e-02 8.7869979104e+01
4.3000000000e+01 1.2468785600e-05 1.2468522535e-05 6.6442931711e-06 1.9993019867e-07 3.9288319309e-09 2.3846441502e-05 1.9252004302e-05 2.0000000000e-02 8.8366048678e+01
4.4000000000e+01 1.2134875854e-05 1.2134604709e-05 6.3994949936e-06 2.0602979675e-07 4.0745186016e-09 2.4370263157e-05 1.7970223930e-05 2.0000000000e-02 8.7933083887e+01
4.5000000000e+01 1.1840777937e-05 1.1840498883e-05 6.1934632269e-06 2.1198587127e-07 4.2190488422e-09 2.4877661884e-05 1.6895276278e-05 2.0000000000e-02 8.6754247881e+01
4.6000000000e+01 1.1582446378e-05 1.1582159633e-05 6.0244816442e-06 2.1776320633e-07 4.3613993393e-09 2.5368063600e-05 1.5824410972e-05 2.0000000000e-02 8.7298755464e+01
4.7000000000e+01 1.1354988060e-05 1.1354693879e-05 5.8907637507e-06 2.2333425554e-07 4.5005072445e-09 2.5841038446e-05 1.4755967165e-05 2.0000000000e-02 8.7296122041e+01
4.8000000000e+01 1.1152774665e-05 1.1152473329e-05 5.7882992294e-06 2.2868290645e-07 4.6357941349e-09 2.6295794529e-05 1.3829345004e-05 2.0000000000e-02 8.6717171181e+01
4.9000000000e+01 1.0971559325e-05 1.0971251120e-05 5.7134697121e-06 2.3380250343e-07 4.7670990014e-09 2.6731790567e-05 1.2825307676e-05 2.0000000000e-02 8.6537924759e+01
5.0000000000e+01 1.0808727270e-05 1.0808412487e-05 5.6608689444e-06 2.3869173670e-07 4.8942355696e-09 2.7148403674e-05 1.1982236127e-05 2.0000000000e-02 8.6524413341e+01
5.1000000000e+01 1.0662843241e-05 1.0662522179e-05 5.6280262849e-06 2.4334732293e-07 5.0169508413e-09 2.7545345171e-05 1.1144638136e-05 2.0000000000e-02 8.5956785157e+01
5.2000000000e+01 1.0531601895e-05 1.0531274854e-05 5.6102146041e-06 2.4776807754e-07 5.1350207157e-09 2.7922352847e-05 1.0457898670e-05 2.0000000000e-02 8.5487594590e+01
5.3000000000e+01 1.0412060120e-05 1.0411727400e-05 5.6039760086e-06 2.5195639142e-07 5.2484221702e-09 2.8279517733e-05 9.7861948515e-06 2.0000000000e-02 8.5576928471e+01
5.4000000000e+01 1.0303678674e-05 1.0303340569e-05 5.6073174949e-06 2.5591683391e-07 5.3571967606e-09 2.8616603544e-05 9.2090504581e-06 2.0000000000e-02 8.5175438910e+01
5.5000000000e+01 1.0203770793e-05 1.0203427593e-05 5.6170957712e-06 2.5965282466e-07 5.4613684767e-09 2.8933439498e-05 8.7094158834e-06 2.0000000000e-02 8.6179566478e+01
5.6000000000e+01 1.0110392572e-05 1.0110044554e-05 5.6304499047e-06 2.6317486711e-07 5.5612438866e-09 2.9230136238e-05 8.3432600307e-06 2.0000000000e-02 8.5927067431e+01
5.7000000000e+01 1.0023467412e-05 1.0023114848e-05 5.6453312028e-06 2.6648779971e-07 5.6569079497e-09 2.9507024669e-05 7.9985394760e-06 2.0000000000e-02 8.5460833491e+01
5.8000000000e+01 9.9423398248e-06 9.9419829807e-06 5.6613939141e-06 2.6959661965e-07 5.7482817819e-09 2.9764633444e-05 7.6624695915e-06 2.0000000000e-02 8.5563662337e+01
5.9000000000e+01 9.8658301333e-06 9.8654692749e-06 5.6779898181e-06 2.7250293578e-07 5.8351499595e-09 3.0003951491e-05 7.4218636566e-06 2.0000000000e-02 8.5254012167e+01
6.0000000000e+01 9.7931648336e-06 9.7928002186e-06 5.6940221804e-06 2.7521432523e-07 5.9175106658e-09 3.0225613783e-05 7.1540779907e-06 2.0000000000e-02 8.5168245667e+01
6.1000000000e+01 9.7249190260e-06 9.7245509102e-06 5.7090108596e-06 2.7773410746e-07 5.9951479432e-09 3.0430152859e-05 6.8984605367e-06 2.0000000000e-02 8.4468549028e+01
6.2000000000e+01 9.6600037485e-06 9.6596323856e-06 5.7227086993e-06 2.8006522083e-07 6.0679187935e-09 3.0618523143e-05 6.6884153410e-06 2.0000000000e-02 8.5050549945e+01
6.3000000000e+01 9.5979677433e-06 9.5975933783e-06 5.7349988911e-06 2.8221461885e-07 6.1358584829e-09 3.0791816924e-05 6.4995999724e-06 2.0000000000e-02 8.4597173519e+01
6.4000000000e+01 9.5387568390e-06 9.5383797106e-06 5.7461591956e-06 2.8418864787e-07 6.1988714963e-09 3.0951008170e-05 6.3214388959e-06 2.0000000000e-02 8.4544034937e+01
6.5000000000e+01 9.4815569346e-06 9.4811772771e-06 5.7558701791e-06 2.8599215727e-07 6.2568213267e-09 3.1097037307e-05 6.1253182055e-06 2.0000000000e-02 8.4315171517e+01
6.6000000000e+01 9.4266426898e-06 9.4262607313e-06 5.7644695181e-06 2.8763065931e-07 6.3096664401e-09 3.1231153619e-05 5.9722325035e-06 2.0000000000e-02 8.4358566045e+01
6.7000000000e+01 9.3739067463e-06 9.3735227079e-06 5.7724030409e-06 2.8911029880e-07 6.3573849138e-09 3.1354313975e-05 5.8212102761e-06 2.0000000000e-02 8.3689708879e+01
6.8000000000e+01 9.3230026746e-06 9.3226167664e-06 5.7787618100e-06 2.9044083091e-07 6.3999971559e-09 3.1467358804e-05 5.7344543968e-06 2.0000000000e-02 8.3926879093e+01
6.9000000000e+01 9.2737154109e-06 9.2733278385e-06 5.7838586455e-06 2.9162725527e-07 6.4373896199e-09 3.1571199617e-05 5.6247237137e-06 2.0000000000e-02 8.3872781586e+01
7.0000000000e+01 9.2256908317e-06 9.2253017889e-06 5.7879578031e-06 2.9267927527e-07 6.4696597925e-09 3.1666841462e-05 5.5221250990e-06 2.0000000000e-02 8.3555035030e+01
7.1000000000e+01 9.1787541074e-06 9.1783637809e-06 5.7910661430e-06 2.9360355808e-07 6.4967768902e-09 3.1755151362e-05 5.4284472948e-06 2.0000000000e-02 8.4429026009e+01
7.2000000000e+01 9.1327178849e-06 9.1323264502e-06 5.7933662664e-06 2.9440898344e-07 6.5189009694e-09 3.1836683041e-05 5.3407614097e-06 2.0000000000e-02 8.3746653059e+01
7.3000000000e+01 9.0875246408e-06 9.0871322613e-06 5.7947236786e-06 2.9510495235e-07 6.5362655018e-09 3.1911891592e-05 5.2487173375e-06 2.0000000000e-02 8.3661120809e+01
7.4000000000e+01 9.0432199246e-06 9.0428267534e-06 5.7956045177e-06 2.9569966581e-07 6.5490238446e-09 3.1981264006e-05 5.1487717186e-06 2.0000000000e-02 8.3375075635e+01
7.5000000000e+01 8.9999448269e-06 8.9995510029e-06 5.7961205116e-06 2.9620441420e-07 6.5574335870e-09 3.2045250878e-05 5.0276265799e-06 2.0000000000e-02 8.3564132624e+01
7.6000000000e+01 8.9576881047e-06 8.9572937540e-06 5.7966915027e-06 2.9662870566e-07 6.5617467437e-09 3.2104452953e-05 4.9396973077e-06 2.0000000000e-02 8.3982207686e+01
7.7000000000e+01 8.9163018895e-06 8.9159071266e-06 5.7976404251e-06 2.9698145045e-07 6.5622163355e-09 3.2159222810e-05 4.8494737852e-06 2.0000000000e-02 8.3367619780e+01
7.8000000000e+01 8.8760535453e-06 8.8756584747e-06 5.7992051308e-06 2.9727054057e-07 6.5590066765e-09 3.2209978351e-05 4.7333282816e-06 2.0000000000e-02 8.3709161945e+01
7.9000000000e+01 8.8368491064e-06 8.8364538213e-06 5.8010201241e-06 2.9750385151e-07 6.5524059261e-09 3.2257170285e-05 4.6118818035e-06 2.0000000000e-02 8.3752315388e+01
8.0000000000e+01 8.7989362591e-06 8.7985408415e-06 5.8030688455e-06 2.9768959416e-07 6.5426938635e-09 3.2301080010e-05 4.5041121387e-06 2.0000000000e-02 8.3331614332e+01
8.1000000000e+01 8.7619752946e-06 8.7615798127e-06 5.8055117128e-06 2.9783779531e-07 6.5302232852e-09 3.2341935523e-05 4.4449910733e-06 2.0000000000e-02 8.3595449567e+01
8.2000000000e+01 8.7258041562e-06 8.7254086683e-06 5.8085496901e-06 2.9795505029e-07 6.5153035322e-09 3.2379804074e-05 4.3775587606e-06 2.0000000000e-02 8.4519394149e+01
8.3000000000e+01 8.6909944599e-06 8.6905990152e-06 5.8115469702e-06 2.9804751605e-07 6.4982337546e-09 3.2414847469e-05 4.2794964876e-06 2.0000000000e-02 8.4703128043e+01
