# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
2.8000000000e+01 1.9723759406e-05 1.9723518202e-05 2.5359185088e-05 1.6490383433e-07 5.4151234965e-09 2.2148510657e-05 3.8607109366e-05 2.0000000000e-02 8.5527622572e+01
2.9000000000e+01 1.8423421985e-05 1.8423169007e-05 2.3078508099e-05 1.7409788487e-07 5.5677837464e-09 2.3202102651e-05 3.7056404250e-05 2.0000000000e-02 8.7204145022e+01
3.0000000000e+01 1.7204272382e-05 1.7204008124e-05 2.1004276182e-05 1.8311122556e-07 5.6903244169e-09 2.4243214700e-05 3.5560780183e-05 2.0000000000e-02 8.5297212443e+01
3.1000000000e+01 1.6060623449e-05 1.6060348416e-05 1.9136437825e-05 1.9190765804e-07 5.7855443889e-09 2.5269823983e-05 3.4066417393e-05 2.0000000000e-02 8.5901769101e+01
3.2000000000e+01 1.4990100491e-05 1.4989815166e-05 1.7432492119e-05 2.0046910610e-07 5.8576376656e-09 2.6279740709e-05 3.2468131912e-05 2.0000000000e-02 8.5911622222e+01
3.3000000000e+01 1.4005189552e-05 1.4004894389e-05 1.5878682196e-05 2.0877634485e-07 5.9116261140e-09 2.7270702897e-05 3.0679533995e-05 2.0000000000e-02 8.5214188699e+01
3.4000000000e+01 1.3102834225e-05 1.3102529680e-05 1.4471983415e-05 2.1679333209e-07 5.9511968840e-09 2.8239695749e-05 2.9184912921e-05 2.0000000000e-02 8.5618226739e+01
3.5000000000e+01 1.2271221249e-05 1.2270907785e-05 1.3204444035e-05 2.2449336555e-07 5.9785952308e-09 2.9184312401e-05 2.7472101586e-05 2.0000000000e-02 8.4731287210e+01
3.6000000000e+01 1.1507587526e-05 1.1507265588e-05 1.2065753007e-05 2.3187166779e-07 5.9965537444e-09 3.0101648200e-05 2.5988974581e-05 2.0000000000e-02 8.5474795004e+01
3.7000000000e+01 1.0810974349e-05 1.0810644372e-05 1.1051283758e-05 2.3891927056e-07 6.0067718749e-09 3.0989657455e-05 2.4400581974e-05 2.0000000000e-02 8.5940685676e+01
3.8000000000e+01 1.0186777352e-05 1.0186439802e-05 1.0153783976e-05 2.4560286281e-07 6.0102199932e-09 3.1845295997e-05 2.2657043088e-05 2.0000000000e-02 8.6376800695e+01
3.9000000000e+01 9.6296658137e-06 9.6293211575e-06 9.3625307281e-06 2.5190868739e-07 6.0083092722e-09 3.2664453367e-05 2.1026829199e-05 2.0000000000e-02 8.4725940500e+01
4.0000000000e+01 9.1319938137e-06 9.1316425313e-06 8.6658291820e-06 2.5781974274e-07 6.0019755721e-09 3.3442892018e-05 1.9560500420e-05 2.0000000000e-02 8.3855596265e+01
4.1000000000e+01 8.6817621213e-06 8.6814046979e-06 8.0502780401e-06 2.6332768829e-07 5.9918461126e-09 3.4177187387e-05 1.8405796671e-05 2.0000000000e-02 8.4995115722e+01
4.2000000000e+01 8.2711821132e-06 8.2708190392e-06 7.5057159633e-06 2.6842536608e-07 5.9783496228e-09 3.4865165207e-05 1.7307422384e-05 2.0000000000e-02 8.3511243127e+01
4.3000000000e+01 7.8948748634e-06 7.8945066216e-06 7.0202813085e-06 2.7311691402e-07 5.9619971983e-09 3.5504845449e-05 1.6337737283e-05 2.0000000000e-02 8.4703338930e+01
4.4000000000e+01 7.5448228941e-06 7.5444499623e-06 6.5852946115e-06 2.7740398935e-07 5.9432223224e-09 3.6095526196e-05 1.5542471816e-05 2.0000000000e-02 8.3370978767e+01
